,tone
4673,{'document_tone': {'tones': []}}
4674,{'document_tone': {'tones': []}}
4675,"{'document_tone': {'tones': [{'score': 0.90598, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4676,{'document_tone': {'tones': []}}
4677,"{'document_tone': {'tones': [{'score': 0.812056, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4678,"{'document_tone': {'tones': [{'score': 0.80129, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4679,"{'document_tone': {'tones': [{'score': 0.87613, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4680,"{'document_tone': {'tones': [{'score': 0.535621, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.83589, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4681,"{'document_tone': {'tones': [{'score': 0.86616, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4682,"{'document_tone': {'tones': [{'score': 0.953553, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4683,"{'document_tone': {'tones': [{'score': 0.783375, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4684,"{'document_tone': {'tones': [{'score': 0.874307, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4685,"{'document_tone': {'tones': [{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4686,"{'document_tone': {'tones': [{'score': 0.93381, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4687,"{'document_tone': {'tones': [{'score': 0.93381, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4688,"{'document_tone': {'tones': [{'score': 0.863162, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4689,{'document_tone': {'tones': []}}
4690,"{'document_tone': {'tones': [{'score': 0.656954, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4691,"{'document_tone': {'tones': [{'score': 0.992242, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4692,"{'document_tone': {'tones': [{'score': 0.895882, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4693,"{'document_tone': {'tones': [{'score': 0.902436, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4694,"{'document_tone': {'tones': [{'score': 0.531495, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4695,{'document_tone': {'tones': []}}
4696,"{'document_tone': {'tones': [{'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4697,"{'document_tone': {'tones': [{'score': 0.810254, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4698,"{'document_tone': {'tones': [{'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4699,"{'document_tone': {'tones': [{'score': 0.578767, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4700,{'document_tone': {'tones': []}}
4701,{'document_tone': {'tones': []}}
4702,"{'document_tone': {'tones': [{'score': 0.836939, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4703,{'document_tone': {'tones': []}}
4704,{'document_tone': {'tones': []}}
4705,{'document_tone': {'tones': []}}
4706,"{'document_tone': {'tones': [{'score': 0.553095, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4707,"{'document_tone': {'tones': [{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.996934, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4708,"{'document_tone': {'tones': [{'score': 0.691062, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4709,{'document_tone': {'tones': []}}
4710,"{'document_tone': {'tones': [{'score': 0.921899, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4711,"{'document_tone': {'tones': [{'score': 0.617789, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4712,{'document_tone': {'tones': []}}
4713,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4714,{'document_tone': {'tones': []}}
4715,"{'document_tone': {'tones': [{'score': 0.717478, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4716,{'document_tone': {'tones': []}}
4717,"{'document_tone': {'tones': [{'score': 0.901786, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4718,"{'document_tone': {'tones': [{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4719,"{'document_tone': {'tones': [{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
4720,"{'document_tone': {'tones': [{'score': 0.932109, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4721,{'document_tone': {'tones': []}}
4722,"{'document_tone': {'tones': [{'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4723,"{'document_tone': {'tones': [{'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4724,"{'document_tone': {'tones': [{'score': 0.928754, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4725,"{'document_tone': {'tones': [{'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4726,"{'document_tone': {'tones': [{'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4727,"{'document_tone': {'tones': [{'score': 0.902602, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4728,"{'document_tone': {'tones': [{'score': 0.882853, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4729,"{'document_tone': {'tones': [{'score': 0.810594, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4730,"{'document_tone': {'tones': [{'score': 0.846813, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4731,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4732,"{'document_tone': {'tones': [{'score': 0.558554, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4733,{'document_tone': {'tones': []}}
4734,"{'document_tone': {'tones': [{'score': 0.841988, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4735,"{'document_tone': {'tones': [{'score': 0.643578, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4736,{'document_tone': {'tones': []}}
4737,"{'document_tone': {'tones': [{'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4738,"{'document_tone': {'tones': [{'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4739,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.999744, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4740,{'document_tone': {'tones': []}}
4741,"{'document_tone': {'tones': [{'score': 0.901786, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4742,"{'document_tone': {'tones': [{'score': 0.636015, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4743,"{'document_tone': {'tones': [{'score': 0.758067, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4744,"{'document_tone': {'tones': [{'score': 0.643569, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4745,"{'document_tone': {'tones': [{'score': 0.903756, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4746,"{'document_tone': {'tones': [{'score': 0.791879, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Happy Staff, Clean, Pleasant...', 'tones': [{'score': 0.840239, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'But Pricey', 'tones': []}]}"
4747,"{'document_tone': {'tones': [{'score': 0.872987, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4748,"{'document_tone': {'tones': [{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
4749,{'document_tone': {'tones': []}}
4750,"{'document_tone': {'tones': [{'score': 0.629256, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4751,"{'document_tone': {'tones': [{'score': 0.629256, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4752,"{'document_tone': {'tones': [{'score': 0.873698, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4753,"{'document_tone': {'tones': [{'score': 0.998976, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
4754,{'document_tone': {'tones': []}}
4755,{'document_tone': {'tones': []}}
4756,"{'document_tone': {'tones': [{'score': 0.852055, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4757,"{'document_tone': {'tones': [{'score': 0.960271, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4758,"{'document_tone': {'tones': [{'score': 0.885603, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4759,"{'document_tone': {'tones': [{'score': 0.951052, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4760,"{'document_tone': {'tones': [{'score': 0.762859, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4761,{'document_tone': {'tones': []}}
4762,"{'document_tone': {'tones': [{'score': 0.863642, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
4763,"{'document_tone': {'tones': [{'score': 0.851351, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4764,"{'document_tone': {'tones': [{'score': 0.851351, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4765,{'document_tone': {'tones': []}}
4766,"{'document_tone': {'tones': [{'score': 0.588878, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4767,"{'document_tone': {'tones': [{'score': 0.829661, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4768,"{'document_tone': {'tones': [{'score': 0.792939, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4769,"{'document_tone': {'tones': [{'score': 0.792939, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4770,"{'document_tone': {'tones': [{'score': 0.792939, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4771,"{'document_tone': {'tones': [{'score': 0.873398, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4772,{'document_tone': {'tones': []}}
4773,"{'document_tone': {'tones': [{'score': 0.929343, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4774,"{'document_tone': {'tones': [{'score': 0.745038, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4775,"{'document_tone': {'tones': [{'score': 0.88241, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4776,"{'document_tone': {'tones': [{'score': 0.88241, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4777,{'document_tone': {'tones': []}}
4778,"{'document_tone': {'tones': [{'score': 0.74528, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4779,{'document_tone': {'tones': []}}
4780,"{'document_tone': {'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
4781,"{'document_tone': {'tones': [{'score': 0.548607, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4782,"{'document_tone': {'tones': [{'score': 0.663014, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4783,"{'document_tone': {'tones': [{'score': 0.931943, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4784,"{'document_tone': {'tones': [{'score': 0.873398, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4785,"{'document_tone': {'tones': [{'score': 0.828248, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4786,{'document_tone': {'tones': []}}
4787,"{'document_tone': {'tones': [{'score': 0.536258, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4788,"{'document_tone': {'tones': [{'score': 0.996934, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4789,"{'document_tone': {'tones': [{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
4790,{'document_tone': {'tones': []}}
4791,"{'document_tone': {'tones': [{'score': 0.547857, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4792,"{'document_tone': {'tones': [{'score': 0.724941, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4793,"{'document_tone': {'tones': [{'score': 0.920116, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4794,"{'document_tone': {'tones': [{'score': 0.938048, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4795,"{'document_tone': {'tones': [{'score': 0.649666, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4796,"{'document_tone': {'tones': [{'score': 0.649666, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4797,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4798,"{'document_tone': {'tones': [{'score': 0.881983, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4799,"{'document_tone': {'tones': [{'score': 0.575748, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4800,"{'document_tone': {'tones': [{'score': 0.886655, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4801,{'document_tone': {'tones': []}}
4802,"{'document_tone': {'tones': [{'score': 0.769673, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4803,"{'document_tone': {'tones': [{'score': 0.769673, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4804,"{'document_tone': {'tones': [{'score': 0.777352, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4805,{'document_tone': {'tones': []}}
4806,{'document_tone': {'tones': []}}
4807,"{'document_tone': {'tones': [{'score': 0.956253, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Great location!', 'tones': [{'score': 0.588462, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'King Street Bliss ������', 'tones': [{'score': 0.904002, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
4808,{'document_tone': {'tones': []}}
4809,"{'document_tone': {'tones': [{'score': 0.553095, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4810,"{'document_tone': {'tones': [{'score': 0.553095, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4811,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4812,"{'document_tone': {'tones': [{'score': 0.905713, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4813,"{'document_tone': {'tones': [{'score': 0.572197, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4814,{'document_tone': {'tones': []}}
4815,{'document_tone': {'tones': []}}
4816,{'document_tone': {'tones': []}}
4817,"{'document_tone': {'tones': [{'score': 0.873398, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4818,"{'document_tone': {'tones': [{'score': 0.903707, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4819,"{'document_tone': {'tones': [{'score': 0.873698, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4820,"{'document_tone': {'tones': [{'score': 0.525976, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4821,"{'document_tone': {'tones': [{'score': 0.719963, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4822,{'document_tone': {'tones': []}}
4823,"{'document_tone': {'tones': [{'score': 0.727633, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4824,{'document_tone': {'tones': []}}
4825,"{'document_tone': {'tones': [{'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4826,"{'document_tone': {'tones': [{'score': 0.998838, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4827,"{'document_tone': {'tones': [{'score': 0.998838, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4828,"{'document_tone': {'tones': [{'score': 0.547857, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4829,"{'document_tone': {'tones': [{'score': 0.547857, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4830,"{'document_tone': {'tones': [{'score': 0.646335, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
4831,"{'document_tone': {'tones': [{'score': 0.646335, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
4832,"{'document_tone': {'tones': [{'score': 0.821625, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4833,{'document_tone': {'tones': []}}
4834,{'document_tone': {'tones': []}}
4835,"{'document_tone': {'tones': [{'score': 0.855376, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4836,{'document_tone': {'tones': []}}
4837,"{'document_tone': {'tones': [{'score': 0.860155, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4838,"{'document_tone': {'tones': [{'score': 0.519742, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4839,"{'document_tone': {'tones': [{'score': 0.840164, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4840,"{'document_tone': {'tones': [{'score': 0.805511, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4841,"{'document_tone': {'tones': [{'score': 0.500245, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4842,"{'document_tone': {'tones': [{'score': 0.825674, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4843,"{'document_tone': {'tones': [{'score': 0.51592, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4844,{'document_tone': {'tones': []}}
4845,{'document_tone': {'tones': []}}
4846,"{'document_tone': {'tones': [{'score': 0.606167, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4847,{'document_tone': {'tones': []}}
4848,"{'document_tone': {'tones': [{'score': 0.612063, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
4849,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4850,"{'document_tone': {'tones': [{'score': 0.593265, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4851,"{'document_tone': {'tones': [{'score': 0.534194, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4852,"{'document_tone': {'tones': [{'score': 0.534194, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4853,{'document_tone': {'tones': []}}
4854,{'document_tone': {'tones': []}}
4855,"{'document_tone': {'tones': [{'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4856,"{'document_tone': {'tones': [{'score': 0.863609, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.970179, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4857,"{'document_tone': {'tones': [{'score': 0.932547, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4858,"{'document_tone': {'tones': [{'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4859,"{'document_tone': {'tones': [{'score': 0.950065, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4860,"{'document_tone': {'tones': [{'score': 0.842376, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
4861,"{'document_tone': {'tones': [{'score': 0.629895, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4862,{'document_tone': {'tones': []}}
4863,{'document_tone': {'tones': []}}
4864,{'document_tone': {'tones': []}}
4865,"{'document_tone': {'tones': [{'score': 0.917084, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4866,"{'document_tone': {'tones': [{'score': 0.728, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4867,{'document_tone': {'tones': []}}
4868,{'document_tone': {'tones': []}}
4869,"{'document_tone': {'tones': [{'score': 0.852055, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4870,"{'document_tone': {'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4871,"{'document_tone': {'tones': [{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
4872,{'document_tone': {'tones': []}}
4873,"{'document_tone': {'tones': [{'score': 0.873698, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4874,"{'document_tone': {'tones': [{'score': 0.917237, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
4875,"{'document_tone': {'tones': [{'score': 0.762439, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
4876,"{'document_tone': {'tones': [{'score': 0.762439, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
4877,"{'document_tone': {'tones': [{'score': 0.932492, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4878,"{'document_tone': {'tones': [{'score': 0.843631, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.994446, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
4879,"{'document_tone': {'tones': [{'score': 0.783176, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4880,"{'document_tone': {'tones': [{'score': 0.585629, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
4881,"{'document_tone': {'tones': [{'score': 0.923685, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4882,"{'document_tone': {'tones': [{'score': 0.965234, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4883,"{'document_tone': {'tones': [{'score': 0.965234, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4884,"{'document_tone': {'tones': [{'score': 0.811549, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4885,"{'document_tone': {'tones': [{'score': 0.754587, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4886,"{'document_tone': {'tones': [{'score': 0.907319, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4887,{'document_tone': {'tones': []}}
4888,{'document_tone': {'tones': []}}
4889,"{'document_tone': {'tones': [{'score': 0.906443, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4890,"{'document_tone': {'tones': [{'score': 0.909775, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'This hotel was unique and wonderful.', 'tones': [{'score': 0.874702, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Staff incredible.', 'tones': [{'score': 0.849623, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
4891,"{'document_tone': {'tones': [{'score': 0.773904, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4892,{'document_tone': {'tones': []}}
4893,"{'document_tone': {'tones': [{'score': 0.920545, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4894,"{'document_tone': {'tones': [{'score': 0.782197, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4895,"{'document_tone': {'tones': [{'score': 0.782197, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4896,"{'document_tone': {'tones': [{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4897,"{'document_tone': {'tones': [{'score': 0.771682, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4898,"{'document_tone': {'tones': [{'score': 0.783113, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4899,"{'document_tone': {'tones': [{'score': 0.923657, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4900,"{'document_tone': {'tones': [{'score': 0.79439, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4901,"{'document_tone': {'tones': [{'score': 0.897299, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4902,"{'document_tone': {'tones': [{'score': 0.897299, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4903,{'document_tone': {'tones': []}}
4904,{'document_tone': {'tones': []}}
4905,"{'document_tone': {'tones': [{'score': 0.591861, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4906,{'document_tone': {'tones': []}}
4907,{'document_tone': {'tones': []}}
4908,"{'document_tone': {'tones': [{'score': 0.943823, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4909,{'document_tone': {'tones': []}}
4910,"{'document_tone': {'tones': [{'score': 0.906622, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4911,"{'document_tone': {'tones': [{'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
4912,"{'document_tone': {'tones': [{'score': 0.878072, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4913,"{'document_tone': {'tones': [{'score': 0.923635, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4914,"{'document_tone': {'tones': [{'score': 0.909792, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.999897, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4915,"{'document_tone': {'tones': [{'score': 0.548607, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4916,"{'document_tone': {'tones': [{'score': 0.911601, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4917,{'document_tone': {'tones': []}}
4918,"{'document_tone': {'tones': [{'score': 0.932582, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4919,"{'document_tone': {'tones': [{'score': 0.853967, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
